District,Lat,Lon,
Budapest I. kerulete, 47.496819, 19.034522,
Budapest II. kerulete, 47.527676, 19.002645,
Budapest III. kerulete, 47.570096, 19.037062,
Budapest IV. kerulete, 47.572625, 19.082388,
Budapest V. kerulete, 47.501275, 19.048857,
Budapest VI. kerulete, 47.509224, 19.065964,
Budapest VII. kerulete, 47.501164, 19.072947,
Budapest VIII. kerulete, 47.488914, 19.078844,
Budapest IX. kerulete, 47.470033, 19.085444,
Budapest X. kerulete, 47.483775, 19.149783,
Budapest XI. kerulete, 47.463810, 19.023874,
Budapest XII. kerulete, 47.500281, 18.979892,
Budapest XIII. kerulete, 47.534202, 19.070249,
Budapest XIV. kerulete, 47.516312, 19.108342,
Budapest XV. kerulete, 47.559218, 19.132260,
Budapest XVI. kerulete, 47.516812, 19.192511,
Budapest XVII. kerulete, 47.480676, 19.260649,
Budapest XVIII. kerulete, 47.430488, 19.193738,
Budapest XIX. kerulete, 47.453039, 19.140264,
Budapest XX. kerulete, 47.435493, 19.118003,
Budapest XXI. kerulete, 47.422143, 19.067170,
Budapest XXII. kerulete, 47.425260, 19.027161,
Budapest XXIII. kerulete, 47.388108, 19.144915

