District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Budapest I. kerulete,47.496819,19.034522,Stand25 Bisztró,47.497673,19.032679,Bistro
Budapest I. kerulete,47.496819,19.034522,Budavári Palota,47.496197815204255,19.03954267501831,Castle
Budapest I. kerulete,47.496819,19.034522,Tabán Kinotéka,47.495818274097225,19.034303415796405,Indie Movie Theater
Budapest I. kerulete,47.496819,19.034522,Dísz tér,47.49909987702406,19.036163341521213,Plaza
Budapest I. kerulete,47.496819,19.034522,Zhao Zhou Teashop & Lab,47.49735359915229,19.0410255135632,Tea Room
Budapest I. kerulete,47.496819,19.034522,Honda Dream,47.49856101793635,19.031825367180065,Motorcycle Shop
Budapest I. kerulete,47.496819,19.034522,Szelence Café,47.497767102774404,19.031901183012053,Café
Budapest I. kerulete,47.496819,19.034522,Magyar Nemzeti Galéria | Hungarian National Gallery (Magyar Nemzeti Galéria),47.4960818339324,19.039467573165894,Art Museum
Budapest I. kerulete,47.496819,19.034522,Déryné Bisztró,47.49726881765624,19.03170794248581,Bistro
Budapest I. kerulete,47.496819,19.034522,Rojt és Bojt Kávéskuckó,47.4961,19.029148,Café
Budapest I. kerulete,47.496819,19.034522,Halászbástya | Fisherman's Bastion (Halászbástya),47.50202916825666,19.03505802154541,Historic Site
Budapest I. kerulete,47.496819,19.034522,Chococo,47.49756658264404,19.032413014257013,Chocolate Shop
Budapest I. kerulete,47.496819,19.034522,Várnegyed,47.50119536056568,19.032261353922006,Scenic Lookout
Budapest I. kerulete,47.496819,19.034522,Bortársaság,47.49744052213427,19.041090091730737,Wine Shop
Budapest I. kerulete,47.496819,19.034522,Pavillon de Paris,47.50113958069904,19.039126333378,French Restaurant
Budapest I. kerulete,47.496819,19.034522,Alagút-tető,47.49816583335608,19.039510488510132,Scenic Lookout
Budapest I. kerulete,47.496819,19.034522,Sziklakórház (Sziklakórház és Atombunker),47.50065171099339,19.031667177753427,History Museum
Budapest I. kerulete,47.496819,19.034522,Aldi,47.491379,19.031084,Grocery Store
Budapest I. kerulete,47.496819,19.034522,Czakó Utcai Sporttelep,47.49110784625171,19.03629819871619,Soccer Stadium
Budapest I. kerulete,47.496819,19.034522,Ennmann Japán Étterem,47.50314223244379,19.03950315483912,Sushi Restaurant
Budapest I. kerulete,47.496819,19.034522,Oxygen Wellness Naphegy,47.491025288093184,19.03790004849087,Gym / Fitness Center
Budapest I. kerulete,47.496819,19.034522,Várkert Bazár,47.494342763628154,19.04280721632471,Historic Site
Budapest I. kerulete,47.496819,19.034522,Asztalka,47.49219305108914,19.044231176376343,Dessert Shop
Budapest I. kerulete,47.496819,19.034522,Filozófusok kertje,47.48938052033156,19.039050771885886,Sculpture Garden
Budapest I. kerulete,47.496819,19.034522,FELIX Kitchen & Bar,47.49401804936372,19.043482303586643,Bistro
Budapest I. kerulete,47.496819,19.034522,Flex Gym,47.495672907564845,19.024170255939012,Gym / Fitness Center
Budapest I. kerulete,47.496819,19.034522,Bécsi Kapu,47.50501526609824,19.030653834342957,Monument / Landmark
